feature,importance
activity_ratio_last_month,0.41226122968904017
n_days_after_onboarding,0.19466881803563085
Drives_per_day_last_month,0.0989559482862378
total_navigations,0.07455595427324392
duration_minutes_drives,0.06459983905033004
Percentage_of_sessions_in_last_month,0.044207493471976646
total_navigations_fav2,0.03298414780477076
driven_km_drives,0.025356344590558934
total_sessions,0.0224071964383045
Average_min_per_drive,0.01665693142916063
fav1_and_2_navigation_ratio,0.005573039128566837
Average_drives_per_driving_day,0.002452471368135024
driving_days_ratio,0.002151475621806764
device,0.0017192852116296
Average_distance_per_driving_days,0.0014498256006073532
